,K10 Market Cap,K10
2019-12-27,440027293012176.75,13.612748682420191
2019-12-26,434548849408785.3,13.44326674998534
2019-12-24,431794441357971.3,13.358055979744485
2019-12-23,435656005611281.0,13.477517896166718
2019-12-20,437821257339320.56,13.544502440253087
2019-12-19,435885332471554.8,13.48461238545093
2019-12-18,436516669764539.9,13.504143528268036
2019-12-17,438198843553831.44,13.556183502600144
2019-12-16,424837385853508.94,13.142831493318655
2019-12-13,424204250859242.7,13.123244736551834
2019-12-12,414028748301287.3,12.808453901441212
2019-12-11,404280883977951.25,12.506892545290896
2019-12-10,402848281040965.1,12.4625733313408
2019-12-09,401075243753488.56,12.407722390541744
2019-12-06,396875225003603.5,12.27778999632079
2019-12-05,390737028973289.5,12.087897866330158
2019-12-04,391633043765892.2,12.115617110979588
2019-12-03,394947948811711.7,12.21816749822018
2019-12-02,398086234331877.3,12.315253957987826
2019-11-29,397266691318732.75,12.289900455490285
2019-11-28,404956510240259.2,12.52779381813941
2019-11-27,409634487827432.4,12.672512416843288
2019-11-26,406650043930668.0,12.580185224033654
2019-11-25,407398189493384.9,12.603329964564217
2019-11-22,403512368670576.25,12.483117643360893
2019-11-21,401016634473716.9,12.405909245292213
2019-11-20,408173922449295.7,12.62732815272477
2019-11-19,417398833208132.6,12.912711340931521
2019-11-18,419074937195645.2,12.9645635389882
2019-11-15,418992714742515.0,12.962019893154661
2019-11-14,413420262650430.56,12.789629700366614
2019-11-13,407933627708752.3,12.61989435949269
2019-11-12,410134240579293.1,12.687972841054385
2019-11-11,404149371903613.25,12.502824068527985
2019-11-08,407598783688363.5,12.609535575913242
2019-11-07,412407600199998.0,12.75830182671701
2019-11-06,414129674866342.0,12.811576180416374
2019-11-05,412871477035718.9,12.77265238834022
2019-11-04,410501095588113.94,12.699321921252976
2019-11-01,403977225707094.2,12.497498528619296
2019-10-31,398477520372703.25,12.327358840165111
2019-10-30,397020863150013.3,12.282295479314989
2019-10-29,401060039442909.25,12.407252027766317
2019-10-28,401753012028752.9,12.428689929016308
2019-10-25,398843569356024.4,12.33868298504098
2019-10-24,396795003847014.06,12.27530826288969
2019-10-23,397576807037419.56,12.299494240712228
2019-10-22,397541946998080.2,12.298415805437592
2019-10-21,390885831112788.1,12.092501231077229
2019-10-18,389151541925162.1,12.03884900716134
2019-10-17,395319212951825.8,12.229652979949215
2019-10-16,397267797594952.9,12.289934679413204
2019-10-15,392768112556744.9,12.150731765076078
2019-10-14,392308926005087.94,12.136526302766537
2019-10-11,388259374938678.3,12.011248798804672
2019-10-10,383898832818084.9,11.87635043011393
2019-10-08,386986616042423.9,11.971874543472865
2019-10-07,380226736257270.44,11.762749913932852
2019-10-04,380294694885871.56,11.764852292004939
2019-10-02,379350130417575.7,11.735631107488778
2019-10-01,388843224580226.8,12.029310856692753
2019-09-30,388596854402506.7,12.021689112847755
2019-09-27,384856362162588.0,11.905972697936312
2019-09-26,390740692043071.8,12.088011187592599
2019-09-25,389140534920526.75,12.038508492856371
2019-09-24,394433371682122.1,12.202248464891877
2019-09-23,392279457168277.44,12.135614650521699
2019-09-20,392138024259286.5,12.131239261367227
2019-09-19,390935701641999.5,12.094044033061548
2019-09-18,383428408692297.5,11.861797320567808
2019-09-17,378351393601619.7,11.704734039303707
2019-09-16,378711210103776.56,11.715865375230894
2019-09-11,380328004676544.75,11.765882768560141
2019-09-10,377913455670494.25,11.691185927426146
2019-09-09,378049138133143.4,11.69538341993169
2019-09-06,373366276376223.3,11.550513723838305
2019-09-05,370378139105338.9,11.458072272266808
2019-09-04,362017712983065.94,11.199432907191575
2019-09-03,355401015190901.75,10.994737776724376
2019-09-02,358331890285542.2,11.085407757238066
2019-08-30,358618509853102.2,11.094274662092873
2019-08-29,352317570383126.4,10.899347877254668
2019-08-28,356989639037649.0,11.043883676353996
2019-08-27,354055649385820.75,10.9531173434437
2019-08-26,350247301695948.3,10.835301742409893
2019-08-23,356119846333433.2,11.016975642065395
2019-08-22,355368560849710.94,10.993733764479455
2019-08-21,360039987743060.56,11.13824970996129
2019-08-20,359622582658861.9,11.1253368052388
2019-08-19,353613957304721.44,10.939453092633574
2019-08-16,355270072224901.5,10.990686905980224
2019-08-14,354775440403990.7,10.975384903637837
2019-08-13,349791229942452.2,10.82119263995174
2019-08-12,354064676358747.9,10.9533966031982
2019-08-09,351126119221542.25,10.862488969892361
2019-08-08,346356217353755.1,10.714926588201196
2019-08-07,348235272793170.56,10.77305732205181
2019-08-06,348781822828236.4,10.78996547385937
2019-08-05,353781533876896.06,10.94463726597532
2019-08-02,363121926443757.75,11.233593016282189
2019-08-01,365890121080314.06,11.319230290355598
2019-07-31,366178551424259.44,11.328153213653458
2019-07-30,374049952828985.9,11.571664038555914
2019-07-29,370900070375896.44,11.4742188143755
2019-07-26,379317608498102.2,11.734625004632221
2019-07-25,377946585550980.6,11.6922108382535
2019-07-24,372799407528441.0,11.5329769862693
2019-07-23,378171337906169.75,11.699163809979476
2019-07-22,376849855515459.7,11.658282237498286
2019-07-19,375099666071496.6,11.604138120927237
2019-07-18,369231924295276.8,11.42261280329016
2019-07-17,369470137404654.0,11.429982198876083
2019-07-16,374740079659228.3,11.593013903094489
2019-07-15,372640112268358.1,11.528049004809413
2019-07-12,371646592009991.5,11.497313316812752
2019-07-11,371383997660495.25,11.489189659617201
2019-07-10,365961845848168.2,11.321449178262345
2019-07-09,362788626887884.4,11.223282012482837
2019-07-08,360864728630900.75,11.163764014670507
2019-07-05,369299328033396.4,11.424698015189168
2019-07-04,370791522173780.6,11.470860751321695
2019-07-03,366647503920314.56,11.342660796646987
2019-07-02,371836046535570.06,11.503174309720245
2019-07-01,374338775189246.44,11.580599089327826
2019-06-28,374958179521448.4,11.599761072325173
2019-06-27,372794586033266.56,11.53282782778953
2019-06-26,368741775860615.25,11.407449499640391
2019-06-25,367005236835708.3,11.353727674429384
2019-06-24,366438228777340.94,11.336186630221363
2019-06-21,366481253121522.25,11.337517637624465
2019-06-20,366299227975803.44,11.33188648109872
2019-06-19,364575392933591.6,11.278557668154091
2019-06-18,356999968401625.56,11.044203227068452
2019-06-17,354330712761187.0,10.961626744246928
2019-06-14,354530808434685.9,10.967816933262553
2019-06-13,354416313307476.44,10.964274895264422
2019-06-12,359573319384425.8,11.123812789377011
2019-06-11,361694857891074.1,11.189445014854172
2019-06-10,360458083056347.7,11.151183967711793
2019-06-07,355007353783502.9,10.982559409859437
2019-06-05,353971993562475.06,10.950529354659572
2019-06-04,351808683550327.6,10.883604879779986
2019-06-03,354260683469168.9,10.959460307828575
2019-05-31,345641004362221.5,10.692800654508535
2019-05-30,345796160974405.4,10.69760060215182
2019-05-29,341276413787431.44,10.557777042246755
2019-05-28,345216150495364.2,10.679657313156472
2019-05-27,345102657302741.4,10.676146271153227
2019-05-24,345565263470800.44,10.690457523215837
2019-05-23,350897892999863.9,10.855428530124685
2019-05-22,350588588970438.94,10.845859855440443
2019-05-21,349352284763468.6,10.807613367707148
2019-05-20,346241571398674.5,10.711379884169988
2019-05-17,343484752863628.06,10.62609454283643
2019-05-16,345576263616307.4,10.690797825325808
2019-05-15,352750710319733.75,10.912747557672201
2019-05-14,352849884669860.06,10.915815629870112
2019-05-13,352179497000556.2,10.895076418900816
2019-05-10,355791023579265.75,11.006803133258268
2019-05-09,355201784345427.3,10.98857434215498
2019-05-08,368481278035927.5,11.399390700842897
2019-05-07,372131329951026.9,11.512309240640517
2019-05-03,375291297009832.8,11.610066443658061
2019-05-02,378709081093497.6,11.715799511857576
2019-04-30,377598286869702.3,11.68143581931728
2019-04-29,380737004558561.0,11.77853564871881
2019-04-26,371646135431934.25,11.497299192047205
2019-04-25,373098270137873.4,11.54222264365779
2019-04-24,374342158340431.75,11.580703750987619
2019-04-23,378765154572174.2,11.717534209193618
2019-04-22,378325346367335.8,11.70392823825498
2019-04-19,378274582544006.3,11.702357801193193
2019-04-18,377465862713152.8,11.677339126245698
2019-04-17,385395000793641.94,11.922636101392463
2019-04-16,385625712966762.7,11.929773446917483
2019-04-15,382778725818557.75,11.841698636181775
2019-04-12,382361487548568.75,11.82879089204807
2019-04-11,380946525693327.7,11.785017425182517
2019-04-10,382832183086448.56,11.843352398038375
2019-04-09,381683817325506.1,11.807826386930758
2019-04-08,380737374941287.4,11.778547106932995
2019-04-05,381587268237153.6,11.804839530214977
2019-04-04,380745108547414.8,11.77878635490305
2019-04-03,380108181663512.8,11.759082291683963
2019-04-02,372003910151190.1,11.508367363079994
2019-04-01,367857867151028.56,11.380104770545433
2019-03-29,362937048135494.4,11.227873593902743
2019-03-28,362418506007068.44,11.211831898790631
2019-03-27,365852422622703.94,11.318064045358273
2019-03-26,366673569027330.1,11.343467150609158
2019-03-25,368398582445235.8,11.396832417956569
2019-03-22,377400513944447.44,11.675317487180987
2019-03-21,374658474627728.3,11.59048935790679
2019-03-20,362610699909849.1,11.217777637471833
2019-03-19,361355462185899.56,11.178945419688592
2019-03-18,359870563816566.5,11.133008386596178
2019-03-15,362133964592483.3,11.203029283980143
2019-03-14,359321667291502.1,11.116027643430893
2019-03-13,359833044493516.0,11.131847683331785
2019-03-12,364796967998272.3,11.285412346756278
2019-03-11,358074674684505.4,11.0774504977914
2019-03-08,359089786458107.25,11.108854144060736
2019-03-07,365058964824099.3,11.293517518872218
2019-03-06,363979228346889.56,11.260114633321908
2019-03-05,365372722104727.2,11.30322395998688
2019-03-04,369829774869110.6,11.441107996066794
2019-02-28,371528679912124.44,11.493665570910688
2019-02-27,381325624824527.1,11.79674529134149
2019-02-26,381349378515254.06,11.797480138991352
2019-02-25,383212284800115.75,11.855111280235178
2019-02-22,383375740899944.0,11.860167982041874
2019-02-21,383169092291728.8,11.853775070479621
2019-02-20,382742270633027.44,11.840570853231318
2019-02-19,376537188687480.5,11.64860953078622
2019-02-18,377823157608454.7,11.68839245337448
2019-02-15,376451679538384.44,11.645964207245664
2019-02-14,385831223411777.56,11.936131148096539
2019-02-13,379301796536817.06,11.734135843485701
2019-02-12,378588479290138.75,11.712068556833099
2019-02-11,373028282421624.9,11.540057493433528
2019-02-08,371011026690833.6,11.477651375159693
2019-02-07,380853115116234.9,11.782127661910016
2019-02-01,382152135932319.7,11.822314359834014
2019-01-31,381612466080651.6,11.805619054386147
2019-01-30,384459748431313.44,11.89370299754823
2019-01-29,376909614675942.94,11.660130955625657
2019-01-28,372929758387958.6,11.537009539520724
2019-01-25,372083841902447.4,11.510840143425419
2019-01-24,361830235519943.7,11.193633076977338
2019-01-23,354458246331535.7,10.965572141428643
2019-01-22,353903040575872.0,10.94839621498293
2019-01-21,356757211084116.25,11.03669325119525
2019-01-18,355102780941839.1,10.985511558384172
2019-01-17,351415300893685.5,10.871435136389218
2019-01-16,349079242281493.56,10.79916648555739
2019-01-15,346629614919772.6,10.723384455282817
2019-01-14,338217801125942.2,10.463155353685792
2019-01-11,343430641296122.94,10.624420539471283
2019-01-10,340154880561733.06,10.523081126373206
2019-01-09,338783321452629.7,10.480650373209011
2019-01-08,326827473155217.3,10.110782501960141
2019-01-07,330412081305458.06,10.221676463878165
2019-01-04,322377316846211.9,9.97311181563228
2019-01-03,319920998702207.5,9.897122798338584
2019-01-02,326290445689653.75,10.094168941755203
2018-12-28,329451896540870.6,10.191972047591749
2018-12-27,327488623614004.6,10.131235949234126
2018-12-26,327696142610195.8,10.137655787246084
2018-12-24,330280414719005.8,10.21760320710589
2018-12-21,329743065931891.44,10.20097970645047
2018-12-20,329910639455844.7,10.206163785491993
2018-12-19,334896466820130.56,10.360406069917925
2018-12-18,331326203489947.75,10.249955881450878
2018-12-17,333420151727533.06,10.314734570329746
2018-12-14,331684670841970.56,10.26104547987223
2018-12-13,340634200471933.75,10.537909437206782
2018-12-12,342601608801260.0,10.598773468979642
2018-12-11,337935111181871.4,10.454410016237878
2018-12-10,338495351995333.7,10.471741707967933
2018-12-07,343703088598317.06,10.632849009052304
2018-12-06,339649440310468.94,10.507444752848876
2018-12-05,346283420057257.8,10.712674520391507
2018-12-04,350809281429314.1,10.852687229620367
2018-12-03,357634541956568.9,11.063834487358742
2018-11-30,348262229647357.3,10.773891263234871
2018-11-29,354288027113621.7,10.960306214811865
2018-11-28,354303855282865.6,10.96079587737017
2018-11-27,352789262806563.44,10.913940223042347
2018-11-26,348622545338858.44,10.785038042156607
2018-11-23,343444200047858.56,10.62483999499769
2018-11-22,343934298958434.2,10.640001766563095
2018-11-21,343929363606443.5,10.639849085792207
2018-11-20,347701378039744.94,10.756540675887672
2018-11-19,354842389331882.06,10.977456045461118
2018-11-16,356225533056189.6,11.020245181975302
2018-11-15,357319705125052.94,11.054094649099943
2018-11-14,354799795351275.6,10.9761383518485
2018-11-13,356781749917195.06,11.037452388123722
2018-11-12,360512454183766.94,11.1528660008604
2018-11-09,360848327589118.25,11.163256629643577
2018-11-08,361669777614822.1,11.188669127760518
2018-11-07,360717105498660.06,11.159197123864375
2018-11-06,361052301725803.06,11.169566803363477
2018-11-05,359672604114515.6,11.126884276305612
2018-11-02,364366833446532.44,11.272105641364487
2018-11-01,348363570138296.5,10.777026347481724
2018-10-31,349211064557163.0,10.80324455875405
2018-10-30,348996067153059.4,10.796593367621336
2018-10-29,342009845970392.8,10.580466607509644
2018-10-26,341840079110791.44,10.575214675115774
2018-10-25,343430990493830.25,10.62443134230262
2018-10-24,353493314640546.8,10.935720873532926
2018-10-23,358483057152860.7,11.090084277550769
2018-10-22,366264611015896.2,11.330815565764944
2018-10-19,368124095295161.25,11.38834084334323
2018-10-18,364912876339593.7,11.288998104152832
2018-10-17,369220559538560.3,11.422261221514495
2018-10-16,365202783060504.0,11.297966700864372
2018-10-15,366400246173272.2,11.335011594827645
2018-10-12,370959550994037.2,11.476058915476237
2018-10-11,434886253363481.25,13.453704728066857
2018-10-10,451153329965315.4,13.956945388578154
2018-10-08,451430026273113.44,13.965505306017874
2018-10-05,450759522396501.25,13.944762500042298
2018-10-04,449853168384340.25,13.916723399784695
2018-10-02,457975643956702.0,14.168001491852037
2018-10-01,467142547214377.75,14.45159015152035
2018-09-28,468554940739735.2,14.495284164157052
2018-09-27,475927084536186.4,14.723349882682783
2018-09-21,477078969398116.1,14.758984761213146
2018-09-20,476979931789153.5,14.755920919259871
2018-09-19,471112709231993.0,14.57441166425954
2018-09-18,466901492494854.94,14.444132847467428
2018-09-17,464409859305698.9,14.367051318772752
2018-09-14,467233484902681.9,14.454403413143668
2018-09-13,455568225787280.25,14.093525251322742
2018-09-12,458186517048750.25,14.174525092663902
2018-09-11,459640078774570.56,14.219492690770208
2018-09-10,463206822202227.56,14.329833987017999
2018-09-07,462783029767850.3,14.316723482296354
2018-09-06,469478174044042.75,14.523845444664785
2018-09-05,472230519711520.94,14.608992412713178
2018-09-04,481437610919555.2,14.893824332690519
2018-09-03,478683763168360.2,14.808630895960611
2018-08-31,484743229459961.2,14.996087431241662
2018-08-30,479219255703443.25,14.82519697133175
2018-08-29,476680455311434.7,14.746656271152306
2018-08-28,476296303151391.44,14.73477208375411
2018-08-27,478017758715529.06,14.788027284817082
2018-08-24,474868665745494.4,14.6906064841999
2018-08-23,475154204227164.2,14.69943994442352
2018-08-22,470873928294433.0,14.56702470225792
2018-08-21,464468377638790.44,14.36886165048249
2018-08-20,458576019825445.44,14.186574807521271
2018-08-17,459014381907931.56,14.200136041007353
2018-08-16,458566126474415.94,14.186268745367107
2018-08-14,465215736178657.0,14.391982043559068
2018-08-13,463762178228980.25,14.347014562272092
2018-08-10,470153924937648.3,14.544750573125349
2018-08-09,480693124787211.06,14.870792800833094
2018-08-08,477433450413879.4,14.769951037753042
2018-08-07,475432044824979.94,14.708035261786561
2018-08-06,468464753517130.1,14.492494119050342
2018-08-03,470016580405379.56,14.540501662591005
2018-08-02,467863141710211.2,14.473882568216975
2018-08-01,475571444387201.8,14.712347747028046
2018-07-31,471879506106485.75,14.59813340449861
2018-07-30,473513832693197.25,14.648693170774937
2018-07-27,477670216089894.94,14.77727565532883
2018-07-26,475307542027029.8,14.70418362502296
2018-07-25,469215497578197.7,14.515719247105864
2018-07-24,470907616328410.06,14.568066880203281
2018-07-23,475321930446651.25,14.704628747276407
2018-07-20,483202788051266.7,14.948432110561424
2018-07-19,481494643348064.9,14.895588696238827
2018-07-18,479098009622417.25,14.821446084839149
2018-07-17,475382416593039.3,14.70649995554604
2018-07-16,477673248114697.75,14.777369454491506
2018-07-13,478188450665688.2,14.793307835947726
2018-07-12,472743707208456.2,14.62486845616248
2018-07-11,471980941181812.9,14.601271414821918
2018-07-10,473330835756825.7,14.643031950791451
2018-07-09,469914740349365.0,14.537351123725925
2018-07-06,464897919689815.3,14.382150026185519
2018-07-05,470489432133146.3,14.555129872786953
2018-07-04,471916649082722.56,14.59928246504294
2018-07-03,471888101292046.8,14.59839930641601
2018-07-02,468651409845192.75,14.498268546510298
2018-06-29,478988681894839.75,14.81806390627167
2018-06-28,475415272222150.44,14.707516382092747
2018-06-27,482530769912987.6,14.927642459165488
2018-06-26,478618143940027.75,14.806600889917332
2018-06-25,479212200075608.9,14.824978697397311
2018-06-22,480839351570846.94,14.875316493994594
2018-06-21,474922996717755.1,14.69228727510265
2018-06-20,474751873125646.06,14.686993370633527
2018-06-19,470978666092828.25,14.570264886105027
2018-06-18,474555601486632.6,14.680921482507935
2018-06-15,480915092385270.0,14.87765962290527
2018-06-14,484078938993221.75,14.9755368442225
2018-06-12,493421106275443.25,15.26454749738326
2018-06-11,494727547535524.06,15.304963755247822
2018-06-08,491494947799422.3,15.204959577104276
2018-06-07,495249103782463.3,15.32109869557102
2018-06-05,495922814559889.06,15.341940710699115
2018-06-04,494448897144142.56,15.296343385992614
2018-06-01,495682395034649.0,15.33450305710941
2018-05-31,490922148017126.7,15.187239359277878
2018-05-30,483919292010749.3,14.97059798182734
2018-05-29,496612643412651.94,15.363281356962807
2018-05-28,503761200124456.44,15.58443015274246
2018-05-25,506710790707083.75,15.675679118329299
2018-05-24,499197507403437.3,15.443247087369958
2018-05-23,501845442124691.5,15.525163983117807
2018-05-21,491805844742577.75,15.21457753040062
2018-05-18,489692861174739.1,15.149209961761475
2018-05-17,489124847888772.9,15.131637819685462
2018-05-16,492444440142278.5,15.234333211068446
2018-05-15,489452369186980.3,15.141770066460694
2018-05-14,493938225353956.7,15.280545168815184
2018-05-11,499710152728769.2,15.459106358119254
2018-05-10,500429007480958.6,15.481344953852103
2018-05-09,496872341045361.6,15.371315400904257
2018-05-08,503111239075846.5,15.564322862697965
2018-05-04,500384210324684.5,15.479959102474858
2018-05-03,1.2722729951549798e+16,393.5922342434217
2018-05-02,1.2724982511607872e+16,393.6619197707732
2018-04-30,1.2727514255710328e+16,393.7402421765472
2018-04-27,1.272770646441949e+16,393.74618837328075
2018-04-26,1.2524082567186928e+16,387.446849712292
2018-04-25,1.2114877254604268e+16,374.7876143235799
2018-04-24,1.2126830999559058e+16,375.1574171255138
2018-04-23,1.2467255967905014e+16,385.68885372707507
2018-04-20,1.2402950218179642e+16,383.69948165005286
2018-04-19,1.2679119540379544e+16,392.24309618624835
2018-04-18,1.2347684537127006e+16,381.98977445943206
2018-04-17,1.202068345705742e+16,371.8736212285822
2018-04-16,1.2105737461263758e+16,374.50486434027334
2018-04-13,1.1980355012919752e+16,370.62601458345557
2018-04-12,1.1792107461188986e+16,364.80236079541453
2018-04-11,1.1760056018047966e+16,363.81081266347735
2018-04-10,1.1765865261401758e+16,363.9905282653639
2018-04-09,1.1839919288299084e+16,366.28147447048167
2018-04-06,1.1650010737851668e+16,360.4064357832522
2018-04-05,1.1732732039469764e+16,362.9655140665592
2018-04-04,1.1300075735719392e+16,349.58079538581205
2018-04-03,1.1586913884879906e+16,358.45446231297825
2018-04-02,1.1685386116105582e+16,361.50081365790544
2018-03-30,1.1845434922594928e+16,366.45210693961667
2018-03-29,1.1803957201221928e+16,365.16894608587734
2018-03-28,1.1721650263076734e+16,362.62268661156105
2018-03-27,1.202594978927509e+16,372.03654125217105
2018-03-26,1.209504431997646e+16,374.17405975773676
2018-03-23,1.1961524221293922e+16,370.04346246006634
2018-03-22,1.245501319710857e+16,385.31010957943914
2018-03-21,1.2285116811531562e+16,380.05417015104695
2018-03-20,1.2318984696509632e+16,381.10191199327585
2018-03-19,1.2208551287151134e+16,377.6855278925322
2018-03-16,1.2306652434230198e+16,380.72039932403567
2018-03-15,1.2402370324757922e+16,383.68154198235993
2018-03-14,1.2451499495734686e+16,385.2014091999232
2018-03-13,1.2429782217766938e+16,384.5295603129656
2018-03-12,1.1974925712043838e+16,370.45805293762413
2018-03-09,1.1972892568268078e+16,370.39515530446783
2018-03-08,1.1847943367433626e+16,366.52970855596
2018-03-07,1.1706339927114984e+16,362.1490438193968
2018-03-06,1.1335640843967022e+16,350.6810427752954
2018-03-05,1.090271691841944e+16,337.288044907495
2018-03-02,1.109663909548311e+16,343.28724973464307
2018-02-28,1.1343089530930188e+16,350.9114764444196
2018-02-27,1.142130116193782e+16,353.33104289826593
2018-02-26,1.1418666566028176e+16,353.2495386539446
2018-02-23,1.1381417271871116e+16,352.0971890428863
2018-02-22,1.1269402687964574e+16,348.6318894951071
2018-02-21,1.1393323098118812e+16,352.4655094246904
2018-02-20,1.1416390429778806e+16,353.17912377009156
2018-02-19,1.1650916360278526e+16,360.4344522510799
2018-02-14,1.1795459541975312e+16,364.90606125679966
2018-02-13,1.144842782793413e+16,354.17023740429744
2018-02-12,1.1019887743387064e+16,340.9128586827442
2018-02-09,1.0777927894238436e+16,333.4275534073611
2018-02-08,1.1089650277652848e+16,343.0710426442617
2018-02-07,1.103934193587016e+16,341.5146964262145
2018-02-06,1.1425721999931698e+16,353.46780658890975
2018-02-05,1.1548592515477966e+16,357.26894682537335
2018-02-02,1.1504190508385424e+16,355.895319840992
2018-02-01,1.2006972374853074e+16,371.4494531845182
2018-01-31,1.2025094689518024e+16,372.0100877610441
2018-01-30,1.2003856100732668e+16,371.3530476726323
2018-01-29,1.234079368874521e+16,381.7765981662346
2018-01-26,1.2232578116099478e+16,378.4288253863544
2018-01-25,1.2109555044819376e+16,374.62296566340046
2018-01-24,1.1886810641283846e+16,367.7321122234052
2018-01-23,1.1845071259826442e+16,366.44085661503186
2018-01-22,1.1626891883934608e+16,359.69122753777225
2018-01-19,1.188192320667265e+16,367.58091383157694
2018-01-18,1.2023423002446478e+16,371.9583722053456
2018-01-17,1.1954966527209946e+16,369.84059267694386
2018-01-16,1.2049845687776026e+16,372.7757882625261
2018-01-15,1.1707761802699528e+16,362.1930311704031
2018-01-12,1.1626066605869698e+16,359.66569661487466
2018-01-11,1.163050552823499e+16,359.80301976627703
2018-01-10,1.1772756360773546e+16,364.20371232322447
2018-01-09,1.214378229784284e+16,375.6818249680326
2018-01-08,1.2525591979932466e+16,387.4935451257115
2018-01-05,1.2539309478101564e+16,387.91791165499933
2018-01-04,1.2288892025317486e+16,380.170960716783
2018-01-03,1.2414215052207402e+16,384.0479722028078
2018-01-02,1.227106721991926e+16,379.6195299304377
2017-12-28,1.2254656842074776e+16,379.11185608172866
2017-12-27,1.1878316064265318e+16,367.46932274658633
2017-12-26,1.1600916496048446e+16,358.88764913970925
2017-12-22,1.195407329702957e+16,369.81295957746545
2017-12-21,1.1819391693410004e+16,365.6464297932147
2017-12-20,1.223270354757637e+16,378.43270575286556
2017-12-19,1.2393653571311144e+16,383.41187922306756
2017-12-18,1.230830428697473e+16,380.7715012820932
2017-12-15,1.216978926110095e+16,376.4863801864194
2017-12-14,1.2270684847994832e+16,379.6077008166688
2017-12-13,1.2333896843372404e+16,381.56323634924627
2017-12-12,1.2514817398404378e+16,387.16022109597674
2017-12-11,1.2440440470291124e+16,384.8592855716247
2017-12-08,1.249276704857156e+16,386.4780682490957
2017-12-07,1.2196230293426088e+16,377.30436382893834
2017-12-06,1.2028002113211022e+16,372.1000322455672
2017-12-05,1.2322716526078918e+16,381.2173604185419
2017-12-04,1.2343047682594172e+16,381.84632804955066
2017-12-01,1.2222787206822998e+16,378.1259323852391
2017-11-30,1.2208972693387656e+16,377.69856457748807
2017-11-29,1.2636494425244926e+16,390.92443939131465
2017-11-28,1.2794621396608362e+16,395.8162785005382
2017-11-27,1.2643549761182842e+16,391.14270429560156
2017-11-24,1.3310527210915568e+16,411.7764162135618
2017-11-23,1.3271725958927502e+16,410.5760550080986
2017-11-22,1.3426581265319008e+16,415.36668141133043
2017-11-21,1.3267509924491356e+16,410.44562715026547
2017-11-20,1.324587104753005e+16,409.7762036883078
2017-11-17,1.3392827612581592e+16,414.32247347440267
2017-11-16,1.338325376751939e+16,414.02629560356183
2017-11-15,1.327862275355231e+16,410.7894152551394
2017-11-14,1.3414729977705422e+16,415.0000482446864
2017-11-13,1.3524166056469418e+16,418.3855787803175
2017-11-10,1.3526866585664448e+16,418.4691227463971
2017-11-09,1.3514318409561656e+16,418.08093053554404
2017-11-08,1.3615961403453488e+16,421.2253730579764
2017-11-07,1.3461773803134272e+16,416.45540290743656
2017-11-06,1.3529788086318838e+16,418.55950271785633
2017-11-03,1.3531937820133634e+16,418.6260071975094
2017-11-02,1.3689535342196394e+16,423.5014671857451
2017-11-01,1.3728874594612752e+16,424.71847205113045
2017-10-31,1.3227686531039582e+16,409.2136448270119
