Buy Date,Buy Price,Sell Date,Sell Price,Profit/Loss
2020-07-06 00:00:00-04:00,298.8879089355469,2020-09-10 00:00:00-04:00,314.7632751464844,26.55739114284632
2020-10-02 00:00:00-04:00,315.9758605957031,2020-10-27 00:00:00-04:00,320.1214599609375,6.559993787846257
2020-11-06 00:00:00-05:00,331.42254638671875,2021-02-01 00:00:00-05:00,357.61553955078125,39.51600977306374
2021-02-05 00:00:00-05:00,368.5274658203125,2021-02-26 00:00:00-05:00,361.5411071777344,-9.478748927202824
2021-03-12 00:00:00-05:00,374.5633239746094,2021-05-12 00:00:00-04:00,386.6138610839844,16.086114600734206
2021-05-26 00:00:00-04:00,399.64056396484375,2021-06-22 00:00:00-04:00,404.81329345703125,6.4717272952334035
2021-06-23 00:00:00-04:00,404.32537841796875,2021-07-22 00:00:00-04:00,416.6293029785156,15.215375063382458
2021-07-23 00:00:00-04:00,420.9154968261719,2021-09-14 00:00:00-04:00,424.96258544921875,4.807483513392983
2021-10-14 00:00:00-04:00,424.7211608886719,2021-11-29 00:00:00-05:00,445.93316650390625,24.971684446862863
2021-12-10 00:00:00-05:00,451.8265380859375,2022-01-10 00:00:00-05:00,448.37640380859375,-3.817985428611028
2022-08-18 00:00:00-04:00,415.2072448730469,2022-08-25 00:00:00-04:00,407.07562255859375,-9.792245215927576
2022-11-25 00:00:00-05:00,392.008544921875,2022-12-08 00:00:00-05:00,386.0747985839844,-7.568389024623412
2023-01-24 00:00:00-05:00,391.72381591796875,2023-02-22 00:00:00-05:00,390.0989685058594,-2.073970672808972
2023-03-24 00:00:00-04:00,388.846435546875,2023-04-26 00:00:00-04:00,397.30621337890625,10.878044722376572
2023-05-02 00:00:00-04:00,403.6731872558594,2023-05-05 00:00:00-04:00,405.43194580078125,2.178443602952411
2023-05-11 00:00:00-04:00,404.94073486328125,2023-08-07 00:00:00-04:00,444.4927062988281,48.83674082443282
2023-08-30 00:00:00-04:00,444.78857421875,2023-09-20 00:00:00-04:00,434.1151123046875,-11.998354423570715
2023-11-24 00:00:00-05:00,450.6031799316406,2024-01-08 00:00:00-05:00,471.6085205078125,23.308025233375538
2024-01-10 00:00:00-05:00,473.55615234375,2024-04-09 00:00:00-04:00,517.6500244140625,46.55611784587815
