,S&P500,KOSPI200
2019-03-22,2800.71,283.13
2019-03-21,2854.88,282.38
2019-03-20,2824.23,279.92
2019-03-19,2832.57,279.82
2019-03-18,2832.94,279.93
2019-03-15,2822.48,279.87
2019-03-14,2808.48,276.64
2019-03-13,2810.92,276.0
2019-03-12,2791.52,277.73
2019-03-11,2783.3,275.06
2019-03-08,2743.07,274.84
2019-03-07,2748.93,278.87
2019-03-06,2771.45,279.85
2019-03-05,2789.65,280.45
2019-03-04,2792.81,282.51
2019-03-01,2803.69,282.51
2019-02-28,2784.49,283.8
2019-02-27,2792.38,288.76
2019-02-26,2793.9,287.89
2019-02-25,2796.11,289.0
2019-02-22,2792.67,288.74
2019-02-21,2774.88,288.41
2019-02-20,2784.7,288.4
2019-02-19,2779.76,284.91
2019-02-18,2779.76,285.9
2019-02-15,2775.6,283.98
2019-02-14,2745.73,288.68
2019-02-13,2753.03,284.97
2019-02-12,2744.73,283.69
2019-02-11,2709.8,282.1
2019-02-08,2707.88,281.49
2019-02-07,2706.05,285.65
2019-02-06,2731.61,285.65
2019-02-05,2737.7,285.65
2019-02-04,2724.87,285.65
2019-02-01,2706.53,285.79
2019-01-31,2704.1,285.89
2019-01-30,2681.05,286.62
2019-01-29,2640.0,283.0
2019-01-28,2643.85,281.64
2019-01-25,2664.76,281.67
2019-01-24,2642.33,276.61
2019-01-23,2638.7,273.87
2019-01-22,2632.9,272.71
2019-01-21,2632.9,274.0
2019-01-18,2670.71,273.88
2019-01-17,2635.96,271.88
2019-01-16,2616.1,271.23
2019-01-15,2610.3,269.93
2019-01-14,2582.61,264.99
2019-01-11,2596.26,267.13
2019-01-10,2596.64,265.55
2019-01-09,2584.96,265.6
2019-01-08,2574.41,259.65
2019-01-07,2549.69,261.57
2019-01-04,2531.94,257.89
2019-01-03,2447.89,255.77
2019-01-02,2510.03,258.23
2018-12-31,2506.85,258.23
2018-12-28,2485.74,261.98
2018-12-27,2488.83,260.57
2018-12-26,2467.7,260.98
2018-12-24,2351.1,264.45
2018-12-21,2416.62,265.06
2018-12-20,2467.42,264.81
2018-12-19,2506.96,267.31
2018-12-18,2546.16,265.18
2018-12-17,2545.94,266.33
2018-12-14,2599.95,265.55
2018-12-13,2650.54,269.41
2018-12-12,2651.07,268.47
2018-12-11,2636.78,264.69
2018-12-10,2637.72,265.35
2018-12-07,2633.08,268.28
2018-12-06,2695.95,267.18
2018-12-05,2695.95,271.49
2018-12-04,2700.06,273.29
2018-12-03,2790.37,276.18
2018-11-30,2760.17,271.35
2018-11-29,2737.76,274.16
2018-11-28,2743.79,273.45
2018-11-27,2682.17,272.08
2018-11-26,2673.45,269.79
2018-11-23,2632.56,266.33
2018-11-22,2632.56,267.76
2018-11-21,2649.93,268.27
2018-11-20,2641.89,269.58
2018-11-19,2690.73,272.31
2018-11-16,2736.27,271.65
2018-11-15,2730.2,271.54
2018-11-14,2701.58,268.88
2018-11-13,2722.18,269.7
2018-11-12,2726.22,271.57
2018-11-09,2781.01,271.33
2018-11-08,2806.83,272.11
2018-11-07,2813.89,270.45
2018-11-06,2755.45,271.57
2018-11-05,2738.31,270.07
2018-11-02,2723.06,272.56
2018-11-01,2740.37,262.95
2018-10-31,2711.74,264.01
2018-10-30,2682.63,262.47
2018-10-29,2641.25,260.19
2018-10-26,2658.69,262.69
2018-10-25,2705.57,266.72
2018-10-24,2656.1,271.36
2018-10-23,2740.69,272.54
2018-10-22,2755.88,279.4
2018-10-19,2767.78,278.63
2018-10-18,2768.78,277.48
2018-10-17,2809.21,280.05
2018-10-16,2809.92,276.9
2018-10-15,2750.79,277.19
2018-10-12,2767.13,279.37
2018-10-11,2728.37,275.15
2018-10-10,2785.68,287.85
2018-10-09,2880.34,287.85
2018-10-08,2884.43,289.91
2018-10-05,2885.57,291.28
2018-10-04,2901.61,291.78
2018-10-03,2925.51,291.78
2018-10-02,2923.43,296.53
2018-10-01,2924.59,300.17
2018-09-28,2913.98,300.51
2018-09-27,2914.0,302.59
2018-09-26,2905.97,302.59
2018-09-25,2915.56,302.59
2018-09-24,2919.37,302.59
2018-09-21,2929.67,300.81
2018-09-20,2930.75,299.04
2018-09-19,2907.95,296.64
2018-09-18,2904.31,296.1
2018-09-17,2888.8,295.23
2018-09-14,2904.98,297.29
2018-09-13,2904.18,292.42
2018-09-12,2888.92,292.35
2018-09-11,2887.89,292.46
2018-09-10,2877.13,293.7
2018-09-07,2871.68,292.86
2018-09-06,2878.05,294.28
2018-09-05,2888.6,294.96
2018-09-04,2896.72,298.8
2018-09-03,2896.72,297.49
2018-08-31,2901.52,300.07
2018-08-30,2901.13,298.05
2018-08-29,2914.04,298.05
2018-08-28,2897.52,297.22
2018-08-27,2896.74,296.83
2018-08-24,2874.69,295.54
2018-08-23,2856.98,294.29
2018-08-22,2861.82,293.0
2018-08-21,2862.96,291.93
2018-08-20,2857.05,288.61
2018-08-17,2850.13,288.57
2018-08-16,2840.69,288.24
2018-08-15,2818.37,288.24
2018-08-14,2839.96,291.08
2018-08-13,2821.93,289.85
2018-08-10,2833.28,293.64
2018-08-09,2853.58,297.41
2018-08-08,2857.7,297.19
2018-08-07,2858.45,297.18
2018-08-06,2850.4,295.24
2018-08-03,2840.35,295.61
2018-08-02,2827.22,293.55
2018-08-01,2813.36,298.69
2018-07-31,2816.29,297.45
2018-07-30,2802.6,297.29
2018-07-27,2818.82,297.78
2018-07-26,2837.44,296.95
2018-07-25,2846.07,294.85
2018-07-24,2820.4,295.49
2018-07-23,2806.98,294.56
2018-07-20,2801.83,296.95
2018-07-19,2804.49,295.9
2018-07-18,2815.62,296.47
2018-07-17,2809.55,296.88
2018-07-16,2798.43,297.37
2018-07-13,2801.31,298.65
2018-07-12,2798.29,294.41
2018-07-11,2774.02,294.43
2018-07-10,2793.84,296.19
2018-07-09,2784.17,295.2
2018-07-06,2759.82,293.11
2018-07-05,2736.61,291.63
2018-07-04,2736.61,292.26
2018-07-03,2713.22,293.35
2018-07-02,2726.71,292.93
2018-06-29,2718.37,299.66
2018-06-28,2716.31,298.26
2018-06-27,2699.63,302.25
2018-06-26,2723.06,302.76
2018-06-25,2717.07,303.37
2018-06-22,2754.88,303.69
2018-06-21,2749.76,301.02
2018-06-20,2767.32,304.02
2018-06-19,2762.59,301.35
2018-06-18,2773.75,305.35
2018-06-15,2779.66,308.73
2018-06-14,2782.49,311.2
2018-06-13,2775.63,311.2
2018-06-12,2786.85,316.84
2018-06-11,2782.0,317.22
2018-06-08,2779.03,314.97
2018-06-07,2770.37,317.67
2018-06-06,2772.35,317.67
2018-06-05,2748.8,315.76
2018-06-04,2746.87,314.84
2018-06-01,2734.62,313.22
2018-05-31,2705.27,310.92
2018-05-30,2724.01,309.26
2018-05-29,2689.86,316.2
2018-05-28,2689.86,318.99
2018-05-25,2721.33,318.05
2018-05-24,2727.76,317.48
2018-05-23,2733.29,318.31
2018-05-22,2724.44,318.31
2018-05-21,2733.01,316.25
2018-05-18,2712.97,315.37
2018-05-17,2720.13,314.29
2018-05-16,2722.46,315.97
2018-05-15,2711.45,314.94
2018-05-14,2730.13,317.72
2018-05-11,2727.72,318.51
2018-05-10,2723.07,317.31
2018-05-09,2697.79,314.42
2018-05-08,2671.92,315.87
2018-05-07,2672.63,315.87
2018-05-04,2663.42,316.75
2018-05-03,2629.73,320.55
2018-05-02,2635.67,322.53
2018-05-01,2654.8,322.53
2018-04-30,2648.05,323.56
2018-04-27,2669.91,320.8
2018-04-26,2666.94,318.08
2018-04-25,2639.4,313.99
2018-04-24,2634.56,315.86
2018-04-23,2670.29,317.89
2018-04-20,2670.14,317.89
2018-04-19,2693.13,320.12
2018-04-18,2708.64,318.64
2018-04-17,2706.39,314.64
2018-04-16,2677.84,315.17
2018-04-13,2656.3,314.86
2018-04-12,2663.99,313.22
2018-04-11,2642.19,312.94
2018-04-10,2656.87,313.94
2018-04-09,2613.16,313.45
2018-04-06,2604.47,311.61
2018-04-05,2662.84,313.04
2018-04-04,2644.69,308.54
2018-04-03,2614.45,313.38
2018-04-02,2581.88,314.0
2018-03-30,2581.88,314.61
2018-03-29,2640.87,313.82
2018-03-28,2605.0,311.81
2018-03-27,2612.62,316.34
2018-03-26,2658.55,314.89
2018-03-23,2588.26,312.42
2018-03-22,2643.69,323.32
2018-03-21,2711.93,321.6
2018-03-20,2716.94,321.79
2018-03-19,2712.92,320.35
2018-03-16,2752.01,322.88
2018-03-15,2747.33,322.74
2018-03-14,2749.48,321.99
2018-03-13,2765.31,322.98
2018-03-12,2783.02,320.7
2018-03-09,2786.57,317.67
2018-03-08,2738.97,314.78
2018-03-07,2726.8,311.14
2018-03-06,2728.12,310.46
2018-03-05,2720.94,304.58
2018-03-02,2691.25,308.35
2018-03-01,2677.67,308.35
2018-02-28,2713.83,312.86
2018-02-27,2744.28,316.83
2018-02-26,2779.6,317.34
2018-02-23,2747.3,316.81
2018-02-22,2703.96,312.17
2018-02-21,2701.33,314.47
2018-02-20,2716.26,312.83
2018-02-19,2716.26,316.61
2018-02-16,2732.22,316.61
2018-02-15,2731.2,316.61
2018-02-14,2698.63,314.4
2018-02-13,2662.94,310.87
2018-02-12,2656.0,308.13
2018-02-09,2619.55,304.83
2018-02-08,2581.0,311.62
2018-02-07,2681.66,310.48
2018-02-06,2695.14,318.01
2018-02-05,2648.94,323.29
2018-02-02,2762.13,327.01
