,Outstanding,Floating,Price,Name,f Market Cap,Market Cap
000660,728002365,73.89,45800.0,SK하이닉스,24636779395431.3,333425083170.0
005380,213668187,65.36,150000.0,현대차,20948029053480.0,320502280500.0
005490,87186835,77.94,260500.0,POSCO,17701865701339.5,227121705175.0
005930,5969782550,78.78,36100.0,삼성전자,169778108413329.0,2155091500550.0
012330,95306694,67.22,271500.0,현대모비스,17393690860396.201,258757674210.0
028260,189690043,52.09,125500.0,삼성물산,12400597696536.85,238061003965.0
035420,164813395,77.15,777000.0,NAVER,98798296106422.5,1280600079150.0
051910,70592343,64.28,253000.0,LG화학,11480319794341.201,178598627790.0
068270,128337853,75.82,108200.0,셀트리온,10528483247645.719,138861556946.0
207940,66165000,24.77,156500.0,삼성바이오로직스,2564889533250.0,103548225000.0
